Gene;A549;HPAEC;HCAEC;Eahy.926;Experimental Condition
18s;7,249;7,780;8,084;7,834;24h NX
18s;7,497;7,737;8,114;7,905;24h NX
18s;7,480;7,625;7,226;7,749;24h NX
18s;8,225;7,190;7,932;8,061;24h NX
18s;8,023;7,486;7,372;9,328;24h NX
18s;;8,035;8,956;8,695;24h NX
18s;7,701;8,020;7,910;10,510;24h HX
18s;7,955;7,452;7,964;8,231;24h HX
18s;7,938;7,393;7,653;9,338;24h HX
18s;8,336;7,536;8,026;9,146;24h HX
18s;8,194;7,428;8,183;8,599;24h HX
18s;;7,686;8,263;8,841;24h HX
18s;7,834;7,905;7,915;9,200;72h HX
18s;8,047;7,501;7,697;8,577;72h HX
18s;7,331;7,411;8,480;8,806;72h HX
18s;7,983;7,169;7,910;8,460;72h HX
18s;7,885;7,120;7,816;8,080;72h HX
18s;;7,484;7,795;8,212;72h HX
ActB;17,331;16,820;16,683;17,041;24h NX
ActB;16,798;16,711;16,617;17,003;24h NX
ActB;16,971;16,838;16,149;17,136;24h NX
ActB;17,370;16,803;16,802;16,869;24h NX
ActB;16,764;16,857;16,139;16,751;24h NX
ActB;;16,975;17,433;16,892;24h NX
ActB;17,024;16,948;16,757;18,155;24h HX
ActB;17,201;16,670;16,380;17,393;24h HX
ActB;17,255;16,709;16,750;17,975;24h HX
ActB;17,536;16,901;16,655;16,908;24h HX
ActB;17,505;16,757;16,781;17,153;24h HX
ActB;;16,997;16,984;16,560;24h HX
ActB;16,863;16,627;16,780;18,531;72h HX
ActB;17,081;16,666;16,726;17,994;72h HX
ActB;16,508;16,657;17,139;18,149;72h HX
ActB;16,927;16,531;16,936;19,353;72h HX
ActB;17,001;16,636;16,612;18,730;72h HX
ActB;;16,827;16,579;18,107;72h HX
B2M;22,213;20,726;21,141;22,352;24h NX
B2M;22,060;20,885;21,131;22,586;24h NX
B2M;22,269;20,878;20,118;22,332;24h NX
B2M;23,034;21,030;20,896;22,657;24h NX
B2M;22,204;20,700;20,564;22,687;24h NX
B2M;;20,945;21,466;22,777;24h NX
B2M;22,266;21,187;21,270;23,869;24h HX
B2M;22,332;20,994;20,852;22,629;24h HX
B2M;22,948;20,825;20,611;23,323;24h HX
B2M;23,135;21,160;20,968;23,254;24h HX
B2M;22,950;20,763;20,655;22,725;24h HX
B2M;;20,860;20,637;22,614;24h HX
B2M;22,108;20,806;21,485;23,064;72h HX
B2M;22,336;20,570;21,309;22,717;72h HX
B2M;21,805;20,662;21,231;22,835;72h HX
B2M;22,079;20,649;21,145;23,859;72h HX
B2M;22,100;20,671;20,789;22,938;72h HX
B2M;;20,765;20,583;22,794;72h HX
GAPDH;19,030;19,916;20,195;19,179;24h NX
GAPDH;18,969;19,742;19,768;19,217;24h NX
GAPDH;18,939;19,875;19,331;19,198;24h NX
GAPDH;19,475;19,677;20,479;19,160;24h NX
GAPDH;18,880;19,640;19,691;18,496;24h NX
GAPDH;;19,842;20,977;19,000;24h NX
GAPDH;18,500;19,665;19,452;19,093;24h HX
GAPDH;18,508;19,493;19,728;19,157;24h HX
GAPDH;18,473;19,358;19,701;19,666;24h HX
GAPDH;18,758;19,450;19,687;18,399;24h HX
GAPDH;18,662;19,170;19,863;19,059;24h HX
GAPDH;;19,493;19,871;18,603;24h HX
GAPDH;18,912;19,742;20,443;19,145;72h HX
GAPDH;18,910;19,429;19,968;18,678;72h HX
GAPDH;18,423;19,360;19,912;18,759;72h HX
GAPDH;18,751;19,392;19,522;20,538;72h HX
GAPDH;18,632;19,383;19,803;19,992;72h HX
GAPDH;;19,510;19,667;19,396;72h HX
PPIA;25,774;26,194;25,763;25,496;24h NX
PPIA;25,697;26,083;26,405;25,319;24h NX
PPIA;26,148;26,056;25,097;25,407;24h NX
PPIA;26,850;25,946;25,882;26,564;24h NX
PPIA;26,368;25,976;25,356;27,249;24h NX
PPIA;;26,165;26,185;26,988;24h NX
PPIA;25,586;26,533;26,048;27,311;24h HX
PPIA;25,866;25,945;26,065;25,810;24h HX
PPIA;25,989;25,688;25,686;26,662;24h HX
PPIA;26,410;25,984;26,041;27,140;24h HX
PPIA;26,354;25,778;26,100;26,649;24h HX
PPIA;;26,127;25,811;26,746;24h HX
PPIA;25,284;26,505;26,237;27,213;72h HX
PPIA;25,378;26,017;25,927;26,898;72h HX
PPIA;25,098;25,885;25,862;26,505;72h HX
PPIA;25,479;25,671;26,278;27,222;72h HX
PPIA;25,492;25,409;25,840;26,682;72h HX
PPIA;;25,716;25,952;26,778;72h HX
RPL13a;21,884;22,530;22,782;22,319;24h NX
RPL13a;21,965;22,460;23,345;22,384;24h NX
RPL13a;21,968;22,406;22,461;22,173;24h NX
RPL13a;22,449;22,285;22,956;22,781;24h NX
RPL13a;22,204;22,165;22,416;23,413;24h NX
RPL13a;;22,494;23,553;23,041;24h NX
RPL13a;21,619;22,934;22,980;23,864;24h HX
RPL13a;21,688;22,218;22,894;22,385;24h HX
RPL13a;21,964;22,108;22,919;23,251;24h HX
RPL13a;22,276;22,239;23,008;23,389;24h HX
RPL13a;22,074;22,015;22,990;22,940;24h HX
RPL13a;;22,221;22,842;23,010;24h HX
RPL13a;21,777;23,087;23,168;22,736;72h HX
RPL13a;21,896;22,421;23,233;22,116;72h HX
RPL13a;21,451;22,269;23,428;22,051;72h HX
RPL13a;21,788;22,207;23,171;22,511;72h HX
RPL13a;21,808;22,119;23,323;22,069;72h HX
RPL13a;;22,321;22,936;22,172;72h HX
RPLP1;19,998;21,220;21,194;20,210;24h NX
RPLP1;20,177;21,220;21,259;20,231;24h NX
RPLP1;20,260;20,933;20,311;20,103;24h NX
RPLP1;20,558;21,128;20,901;21,058;24h NX
RPLP1;20,696;20,929;20,627;21,459;24h NX
RPLP1;;21,466;21,809;21,164;24h NX
RPLP1;19,981;21,573;21,022;21,338;24h HX
RPLP1;20,117;21,045;21,082;20,251;24h HX
RPLP1;20,408;20,978;20,924;20,923;24h HX
RPLP1;20,607;21,094;20,875;21,334;24h HX
RPLP1;20,588;20,943;21,183;21,178;24h HX
RPLP1;;21,169;21,198;21,215;24h HX
RPLP1;19,796;21,384;21,168;21,131;72h HX
RPLP1;20,030;21,026;21,014;20,496;72h HX
RPLP1;19,811;20,648;21,406;20,688;72h HX
RPLP1;20,048;20,452;21,152;20,863;72h HX
RPLP1;20,390;20,545;20,999;20,217;72h HX
RPLP1;;20,861;20,995;20,319;72h HX
SDHA;24,726;24,719;24,648;24,038;24h NX
SDHA;24,595;24,738;25,900;24,152;24h NX
SDHA;24,763;24,755;24,749;23,933;24h NX
SDHA;25,404;24,956;25,450;23,964;24h NX
SDHA;24,571;24,914;24,610;24,090;24h NX
SDHA;;24,968;26,084;24,137;24h NX
SDHA;24,955;25,382;25,557;25,077;24h HX
SDHA;25,119;25,058;29,804;24,261;24h HX
SDHA;25,274;25,063;25,398;24,939;24h HX
SDHA;25,563;25,069;25,575;23,979;24h HX
SDHA;25,330;24,873;25,619;24,166;24h HX
SDHA;;25,224;25,546;23,745;24h HX
SDHA;25,153;25,215;25,178;25,217;72h HX
SDHA;25,330;24,918;25,558;24,650;72h HX
SDHA;24,739;24,963;25,551;24,657;72h HX
SDHA;25,160;25,254;25,929;25,699;72h HX
SDHA;25,082;25,004;25,566;25,160;72h HX
SDHA;;25,016;25,765;24,776;72h HX
TBP;25,749;26,764;26,363;25,512;24h NX
TBP;25,666;25,725;26,416;25,697;24h NX
TBP;25,677;26,009;25,960;25,653;24h NX
TBP;26,292;25,943;26,444;25,996;24h NX
TBP;25,477;25,610;26,064;25,463;24h NX
TBP;;25,947;26,946;25,911;24h NX
TBP;25,954;26,459;26,947;26,232;24h HX
TBP;26,019;26,233;26,963;25,917;24h HX
TBP;26,578;26,009;26,612;26,180;24h HX
TBP;26,748;26,225;26,788;25,860;24h HX
TBP;26,717;25,925;26,762;26,188;24h HX
TBP;;26,227;26,633;25,806;24h HX
TBP;25,945;26,158;26,932;25,866;72h HX
TBP;26,002;25,952;26,818;25,533;72h HX
TBP;25,629;26,237;26,938;25,688;72h HX
TBP;25,988;25,913;26,990;27,142;72h HX
TBP;26,026;26,015;26,704;26,341;72h HX
TBP;;25,960;26,570;25,836;72h HX
