Ct value;A549;HPAEC;HCAEC;Eahy.926;Experimental Condition;;;;;;;;;;;;;;
24h NX;7,249;7,780;8,084;7,834;24h NX;;;;;;;;;;;;;;
24h NX;7,497;7,737;8,114;7,905;24h NX;;;;;;;;;;;;;;
24h NX;7,480;7,625;7,226;7,749;24h NX;;;;;;;;;;;;;;
24h NX;8,225;7,190;7,932;8,061;24h NX;;;;;;;;;;;;;;
24h NX;8,023;7,486;7,372;9,328;24h NX;;;;;;;;;;;;;;
24h NX;;8,035;8,956;8,695;24h NX;;;;;;;;;;;;;;
24h HX;7,701;8,020;7,910;10,510;24h HX;;;;;;;;;;;;;;
24h HX;7,955;7,452;7,964;8,231;24h HX;;;;;;;;;;;;;;
24h HX;7,938;7,393;7,653;9,338;24h HX;;;;;;;;;;;;;;
24h HX;8,336;7,536;8,026;9,146;24h HX;;;;;;;;;;;;;;
24h HX;8,194;7,428;8,183;8,599;24h HX;;;;;;;;;;;;;;
24h HX;;7,686;8,263;8,841;24h HX;;;;;;;;;;;;;;
72h HX;7,834;7,905;7,915;9,200;72h HX;;;;;;;;;;;;;;
72h HX;8,047;7,501;7,697;8,577;72h HX;;;;;;;;;;;;;;
72h HX;7,331;7,411;8,480;8,806;72h HX;;;;;;;;;;;;;;
72h HX;7,983;7,169;7,910;8,460;72h HX;;;;;;;;;;;;;;
72h HX;7,885;7,120;7,816;8,080;72h HX;;;;;;;;;;;;;;
72h HX;;7,484;7,795;8,212;72h HX;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
